#zstart1	size2	end1	name2
144	327	471	NODE_67_length_327_cov_1.705882
479	372	851	NODE_42_length_372_cov_1.258675
996	337	1333	NODE_63_length_337_cov_0.751773
1569	271	1840	NODE_93_length_271_cov_0.833333
2108	271	2379	NODE_94_length_271_cov_0.652778
2417	250	2667	NODE_104_length_250_cov_0.805128
2792	259	3051	NODE_102_length_259_cov_1.382353
3217	341	3558	NODE_60_length_341_cov_1.716783
3560	245	3805	NODE_106_length_245_cov_0.815789
5157	1084	5712	NODE_3_length_1084_cov_1.084548
5589	276	5865	NODE_90_length_276_cov_2.361991
6754	219	6973	NODE_121_length_219_cov_0.823171
7169	248	7417	NODE_105_length_248_cov_1.362694
8473	542	9015	NODE_17_length_542_cov_1.763860
9077	347	9424	NODE_58_length_347_cov_0.996575
9531	383	9914	NODE_39_length_383_cov_1.085366
10162	453	10615	NODE_24_length_453_cov_1.806533
10754	546	11300	NODE_16_length_546_cov_1.429735
11777	428	12205	NODE_28_length_428_cov_1.469169
12482	374	12856	NODE_41_length_374_cov_1.329154
13162	366	13528	NODE_47_length_366_cov_1.909968
13517	235	13752	NODE_111_length_235_cov_1.216667
13748	426	14174	NODE_29_length_426_cov_1.191375
14418	715	15133	NODE_9_length_715_cov_1.606061
15376	1409	16785	NODE_2_length_1409_cov_1.864106
17115	531	17646	NODE_19_length_531_cov_1.157563
17874	285	18159	NODE_84_length_285_cov_1.700000
18413	584	18997	NODE_15_length_584_cov_1.489603
19143	521	19664	NODE_20_length_521_cov_1.568670
19719	842	20561	NODE_6_length_842_cov_3.701398
21517	408	21925	NODE_32_length_408_cov_1.747875
21931	451	22382	NODE_26_length_451_cov_1.661616
22790	228	23018	NODE_115_length_228_cov_1.011561
23093	355	23448	NODE_53_length_355_cov_1.223333
23870	402	24272	NODE_35_length_402_cov_1.270893
24419	956	25375	NODE_5_length_956_cov_1.035516
25549	362	25911	NODE_48_length_362_cov_1.078176
26056	378	26434	NODE_40_length_378_cov_1.030960
28079	293	28372	NODE_78_length_293_cov_1.168067
28543	407	28950	NODE_34_length_407_cov_0.920455
29697	372	30069	NODE_43_length_372_cov_1.129338
30115	474	30589	NODE_23_length_474_cov_0.871122
30587	290	30877	NODE_80_length_290_cov_1.034043
31039	263	31302	NODE_98_length_263_cov_0.918269
31578	261	31839	NODE_101_length_261_cov_1.466019
32280	398	32678	NODE_36_length_398_cov_0.909621
32994	287	33281	NODE_83_length_287_cov_1.112069
