#zstart1	size2	end1	name2
144	143	287	NODE_152_length_113_cov_2.876106
289	152	441	NODE_237_length_122_cov_3.049180
479	101	580	NODE_293_length_71_cov_1.887324
556	295	851	NODE_98_length_265_cov_1.849057
1064	150	1214	NODE_86_length_120_cov_1.158333
1569	100	1669	NODE_295_length_70_cov_1.214286
1740	100	1840	NODE_178_length_70_cov_1.342857
2256	123	2379	NODE_17_length_93_cov_1.086022
2417	95	2512	NODE_89_length_65_cov_1.753846
2567	100	2667	NODE_276_length_70_cov_1.385714
2792	122	2914	NODE_19_length_92_cov_2.608696
2930	121	3051	NODE_239_length_91_cov_1.956044
3217	341	3558	NODE_23_length_311_cov_2.623794
3560	140	3700	NODE_94_length_110_cov_1.536364
4327	120	4447	NODE_29_length_90_cov_2.977778
4470	104	4574	NODE_241_length_74_cov_2.783784
5027	118	5145	NODE_296_length_88_cov_2.181818
5157	264	5421	NODE_96_length_234_cov_1.970086
5550	72	5600	NODE_281_length_42_cov_2.523809
5589	272	5861	NODE_224_length_242_cov_3.380165
5878	165	6043	NODE_24_length_135_cov_1.859259
6078	103	6181	NODE_292_length_73_cov_2.657534
6395	134	6529	NODE_218_length_104_cov_1.346154
6828	145	6973	NODE_198_length_115_cov_1.217391
7169	124	7293	NODE_256_length_94_cov_2.053191
7299	118	7417	NODE_60_length_88_cov_2.170455
8244	100	8344	NODE_217_length_70_cov_2.442857
8378	103	8481	NODE_255_length_73_cov_1.917808
8473	542	9015	NODE_6_length_512_cov_2.654297
9077	94	9171	NODE_37_length_64_cov_1.562500
9194	230	9424	NODE_83_length_200_cov_1.715000
9605	135	9740	NODE_201_length_105_cov_2.000000
9739	100	9839	NODE_300_length_70_cov_1.857143
9815	98	9913	NODE_91_length_68_cov_1.985294
9938	113	10051	NODE_269_length_83_cov_3.036144
10081	101	10182	NODE_211_length_71_cov_2.492958
10162	453	10615	NODE_160_length_423_cov_2.645390
10767	191	10958	NODE_33_length_161_cov_2.378882
10951	270	11221	NODE_28_length_240_cov_2.275000
11193	107	11300	NODE_179_length_77_cov_1.818182
11777	428	12205	NODE_102_length_398_cov_2.193467
12482	355	12837	NODE_68_length_325_cov_2.083077
12874	98	12972	NODE_301_length_68_cov_2.000000
13037	121	13158	NODE_202_length_91_cov_2.494505
13172	331	13503	NODE_4_length_301_cov_3.019933
13517	98	13615	NODE_138_length_68_cov_1.852941
13605	147	13752	NODE_105_length_117_cov_1.905983
13803	316	14119	NODE_3_length_286_cov_2.034965
14418	346	14764	NODE_12_length_316_cov_2.579114
14776	357	15133	NODE_161_length_327_cov_2.773700
16330	431	16761	NODE_25_length_401_cov_3.047382
16878	121	16999	NODE_176_length_91_cov_3.736264
17008	103	17111	NODE_264_length_73_cov_1.712329
17115	531	17646	NODE_30_length_501_cov_1.762475
17901	116	18017	NODE_207_length_86_cov_3.313953
18037	122	18159	NODE_163_length_92_cov_2.956522
18203	95	18298	NODE_215_length_65_cov_1.707692
18329	100	18429	NODE_288_length_70_cov_1.885714
18413	100	18513	NODE_240_length_70_cov_1.400000
18562	435	18997	NODE_149_length_405_cov_2.654321
19143	521	19664	NODE_41_length_491_cov_2.405295
19719	104	19823	NODE_36_length_74_cov_2.770270
19804	363	20167	NODE_142_length_333_cov_7.543543
20137	64	20201	NODE_154_length_34_cov_8.882353
20171	390	20561	NODE_156_length_360_cov_5.808333
20569	111	20680	NODE_22_length_81_cov_2.271605
20712	162	20874	NODE_225_length_132_cov_2.242424
20900	100	21000	NODE_130_length_70_cov_2.814286
21170	100	21270	NODE_246_length_70_cov_2.714286
21286	114	21400	NODE_270_length_84_cov_3.023809
21423	100	21523	NODE_286_length_70_cov_2.000000
21517	395	21912	NODE_31_length_365_cov_2.613699
21931	116	22047	NODE_261_length_86_cov_2.267442
22026	356	22382	NODE_78_length_326_cov_2.570552
22374	95	22469	NODE_294_length_65_cov_2.000000
22474	134	22608	NODE_67_length_104_cov_1.384615
22593	100	22693	NODE_226_length_70_cov_1.985714
22790	137	22927	NODE_38_length_107_cov_1.560748
22904	114	23018	NODE_71_length_84_cov_1.880952
23093	352	23445	NODE_162_length_322_cov_1.829193
23946	315	24261	NODE_153_length_285_cov_2.228070
24419	466	24885	NODE_118_length_436_cov_2.149083
24897	274	25171	NODE_124_length_244_cov_1.372951
25147	228	25375	NODE_103_length_198_cov_1.050505
25557	155	25712	NODE_77_length_125_cov_2.336000
25710	201	25911	NODE_194_length_171_cov_1.777778
26056	308	26364	NODE_168_length_278_cov_1.665468
26840	204	27044	NODE_108_length_174_cov_1.103448
27572	95	27667	NODE_144_length_65_cov_1.630769
27982	100	28082	NODE_136_length_70_cov_1.371429
28079	293	28372	NODE_48_length_263_cov_1.802281
28616	334	28950	NODE_139_length_304_cov_1.493421
29423	100	29523	NODE_291_length_70_cov_1.271429
29564	144	29708	NODE_159_length_114_cov_1.754386
29747	311	30058	NODE_112_length_281_cov_1.896797
30115	148	30263	NODE_248_length_118_cov_1.601695
30259	255	30514	NODE_117_length_225_cov_1.382222
30587	290	30877	NODE_65_length_260_cov_1.511539
30883	100	30983	NODE_151_length_70_cov_1.514286
31039	100	31139	NODE_275_length_70_cov_2.085714
31578	261	31839	NODE_61_length_231_cov_2.064935
31951	100	32051	NODE_204_length_70_cov_2.042857
