#zstart1	size2	end1	name2
0	5592	5592	NODE_3_length_5562_cov_336.100861
5571	14548	20119	NODE_10_length_14518_cov_466.474792
20089	61	20150	NODE_27_length_31_cov_1498.193604
20120	139	20259	NODE_5_length_109_cov_2120.522949
20240	61	20301	NODE_32_length_31_cov_1.419355
20271	61	20332	NODE_23_length_31_cov_1921.451660
20302	153	20455	NODE_28_length_123_cov_2262.943115
20437	5354	25791	NODE_26_length_5324_cov_388.069122
25761	13440	39201	NODE_34_length_13410_cov_340.812592
39171	19911	59082	NODE_18_length_19881_cov_361.190979
59089	7504	66593	NODE_2_length_7474_cov_349.898438
66595	61	66656	NODE_39_length_31_cov_2.419355
66614	5592	66656	NODE_3_length_5562_cov_336.100861
66765	33235	100000	NODE_1_length_33205_cov_349.680511
278384	14548	278710	NODE_10_length_14518_cov_466.474792
278680	61	278741	NODE_9_length_31_cov_382.161285
278820	67	278887	NODE_19_length_37_cov_46.567566
278862	61	278923	NODE_20_length_31_cov_247.290329
508007	13440	508050	NODE_34_length_13410_cov_340.812592
1049231	61	1049292	NODE_20_length_31_cov_247.290329
1049231	61	1049292	NODE_23_length_31_cov_1921.451660
1049267	67	1049334	NODE_19_length_37_cov_46.567566
1049413	61	1049474	NODE_9_length_31_cov_382.161285
1049444	14548	1049784	NODE_10_length_14518_cov_466.474792
1455791	13440	1456050	NODE_34_length_13410_cov_340.812592
1462512	13440	1463033	NODE_34_length_13410_cov_340.812592
1976526	14548	1976850	NODE_10_length_14518_cov_466.474792
2252608	13440	2253193	NODE_34_length_13410_cov_340.812592
2314908	5354	2315006	NODE_26_length_5324_cov_388.069122
2655430	14548	2656891	NODE_10_length_14518_cov_466.474792
3201161	13440	3201195	NODE_34_length_13410_cov_340.812592
3253242	5354	3253346	NODE_26_length_5324_cov_388.069122
3476955	19911	3479150	NODE_18_length_19881_cov_361.190979
3581442	5354	3581576	NODE_26_length_5324_cov_388.069122
3581558	153	3581711	NODE_28_length_123_cov_2262.943115
3581712	61	3581773	NODE_32_length_31_cov_1.419355
3581754	139	3581893	NODE_5_length_109_cov_2120.522949
3581863	61	3581924	NODE_27_length_31_cov_1498.193604
3637225	14548	3637314	NODE_10_length_14518_cov_466.474792
3706343	19911	3706381	NODE_18_length_19881_cov_361.190979
3748080	7504	3748805	NODE_2_length_7474_cov_349.898438
3848881	33235	3850767	NODE_1_length_33205_cov_349.680511
3982240	13440	3982276	NODE_34_length_13410_cov_340.812592
4092365	61	4092416	NODE_39_length_31_cov_2.419355
4244890	33235	4245322	NODE_1_length_33205_cov_349.680511
4324069	33235	4324169	NODE_1_length_33205_cov_349.680511
4458418	33235	4458471	NODE_1_length_33205_cov_349.680511
