#zstart1	size2	end1	name2
144	3409	3558	NODE_6_length_3409_cov_0.433512
2417	250	2667	NODE_11_length_250_cov_0.805128
3560	245	3805	NODE_13_length_245_cov_0.815789
5157	8372	5712	NODE_5_length_8372_cov_0.369965
5589	24383	30069	NODE_2_length_24383_cov_0.617601
6754	219	6973	NODE_28_length_219_cov_0.823171
7169	248	7417	NODE_12_length_248_cov_1.362694
13517	235	13752	NODE_18_length_235_cov_1.216667
22790	228	23018	NODE_22_length_228_cov_1.011561
30115	474	30589	NODE_7_length_474_cov_0.871122
30587	290	30877	NODE_10_length_290_cov_1.034043
31039	26583	57721	NODE_1_length_26583_cov_0.318117
34837	235	35072	NODE_19_length_235_cov_0.905556
38191	215	38406	NODE_30_length_215_cov_0.812500
43820	224	44044	NODE_25_length_224_cov_1.260355
46476	229	46705	NODE_21_length_229_cov_1.183908
49638	243	49881	NODE_14_length_243_cov_1.170213
54237	239	54476	NODE_17_length_239_cov_0.951087
58112	337	58449	NODE_9_length_337_cov_1.429078
58650	8372	66656	NODE_5_length_8372_cov_0.369965
59342	227	59569	NODE_23_length_227_cov_1.197674
60501	241	60742	NODE_16_length_241_cov_0.903226
60724	209	60933	NODE_34_length_209_cov_0.870130
64208	220	64428	NODE_27_length_220_cov_0.884848
65541	211	65752	NODE_31_length_211_cov_1.019231
66648	8372	66741	NODE_5_length_8372_cov_0.369965
67081	231	67312	NODE_20_length_231_cov_2.125000
68273	10634	78955	NODE_4_length_10634_cov_0.404859
71844	210	72054	NODE_33_length_210_cov_0.909677
79501	347	79848	NODE_8_length_347_cov_1.304795
79880	17841	97790	NODE_3_length_17841_cov_0.305915
81024	211	81235	NODE_32_length_211_cov_0.865385
86103	242	86345	NODE_15_length_242_cov_1.053476
90810	207	91017	NODE_35_length_207_cov_0.592105
95416	224	95640	NODE_26_length_224_cov_1.201183
95703	218	95921	NODE_29_length_218_cov_1.006135
95940	224	96164	NODE_24_length_224_cov_1.331361
353956	26583	353993	NODE_1_length_26583_cov_0.318117
507941	26583	508050	NODE_1_length_26583_cov_0.318117
682804	24383	683644	NODE_2_length_24383_cov_0.617601
898913	24383	899017	NODE_2_length_24383_cov_0.617601
1049000	24383	1049784	NODE_2_length_24383_cov_0.617601
1379237	10634	1379407	NODE_4_length_10634_cov_0.404859
1455791	26583	1456050	NODE_1_length_26583_cov_0.318117
1462512	26583	1463033	NODE_1_length_26583_cov_0.318117
2302804	8372	2302925	NODE_5_length_8372_cov_0.369965
2655430	24383	2656891	NODE_2_length_24383_cov_0.617601
2660510	10634	2660599	NODE_4_length_10634_cov_0.404859
3637225	24383	3637311	NODE_2_length_24383_cov_0.617601
3748080	8372	3748805	NODE_5_length_8372_cov_0.369965
3848881	17841	3850767	NODE_3_length_17841_cov_0.305915
4227389	10634	4227436	NODE_4_length_10634_cov_0.404859
