#zstart1	size2	end1	name2
0	100000	100000	NODE_1_length_100000_cov_225.073030
385488	100000	386020	NODE_1_length_100000_cov_225.073030
1379237	100000	1379397	NODE_1_length_100000_cov_225.073030
2131434	100000	2131492	NODE_1_length_100000_cov_225.073030
2441757	100000	2441904	NODE_1_length_100000_cov_225.073030
2579683	100000	2579720	NODE_1_length_100000_cov_225.073030
3040325	100000	3040498	NODE_1_length_100000_cov_225.073030
3137644	100000	3137726	NODE_1_length_100000_cov_225.073030
3148682	100000	3148831	NODE_1_length_100000_cov_225.073030
3706293	100000	3706380	NODE_1_length_100000_cov_225.073030
3748080	100000	3748805	NODE_1_length_100000_cov_225.073030
4025539	100000	4025626	NODE_1_length_100000_cov_225.073030
4061545	100000	4061619	NODE_1_length_100000_cov_225.073030
4125969	100000	4126071	NODE_1_length_100000_cov_225.073030
4151557	100000	4151652	NODE_1_length_100000_cov_225.073030
4516494	100000	4517268	NODE_1_length_100000_cov_225.073030
4631147	100000	4631262	NODE_1_length_100000_cov_225.073030
